Unnamed: 0,School Name,URL,City,State,svg_file_path
1901,University of Wisconsin Whitewater,http://uww.edu,Whitewater,WI,logos/University_of_Wisconsin_Whitewater/University_of_Wisconsin_Whitewater.svg
1902,Viterbo University,http://viterbo.edu,La Crosse,WI,Fail
1903,Waukesha County Technical College,http://wctc.edu,Pewaukee,WI,logos/Waukesha_County_Technical_College/Waukesha_County_Technical_College.svg
1904,"University of Wisconsin, Madison",http://wisc.edu,Madison,WI,logos/University_of_Wisconsin_Madison/University_of_Wisconsin_Madison.svg
1905,Wisconsin Indianhead Technical College,http://witc.edu,Shell Lake,WI,logos/Wisconsin_Indianhead_Technical_College/Wisconsin_Indianhead_Technical_College.svg
1906,Wisconsin Lutheran College,http://wlc.edu,Milwaukee,WI,logos/Wisconsin_Lutheran_College/Wisconsin_Lutheran_College.svg
1907,Wisconsin Technical College System,http://wtcsystem.edu,Madison,WI,logos/Wisconsin_Technical_College_System/Wisconsin_Technical_College_System.svg
1908,Western Technical College,http://westerntc.edu,La Crosse,WI,logos/Western_Technical_College/Western_Technical_College.svg
1909,American Public University System,http://apus.edu,Charles Town,WV,logos/American_Public_University_System/American_Public_University_System.svg
1910,Concord University,http://concord.edu,Athens,WV,logos/Concord_University/Concord_University.svg
1911,Eastern West Virgina Community and Technical College,http://easternwv.edu,Moorefield,WV,logos/Eastern_West_Virgina_Community_and_Technical_College/Eastern_West_Virgina_Community_and_Technical_College.svg
1912,Fairmont State University,http://fairmontstate.edu,Fairmont,WV,logos/Fairmont_State_University/Fairmont_State_University.svg
1913,Marshall University,http://marshall.edu,Huntington,WV,logos/Marshall_University/Marshall_University.svg
1914,Ohio Valley University,http://ovu.edu,Vienna,WV,logos/Ohio_Valley_University/Ohio_Valley_University.svg
1915,Pierpont Community and Technical College,http://pierpont.edu,Fairmont,WV,logos/Pierpont_Community_and_Technical_College/Pierpont_Community_and_Technical_College.svg
1916,Shepherd University,http://shepherd.edu,Shepherdstown,WV,logos/Shepherd_University/Shepherd_University.svg
1917,University of Charleston,http://ucwv.edu,Charleston,WV,logos/University_of_Charleston/University_of_Charleston.svg
1918,West Liberty University,http://westliberty.edu,Wheeling,WV,logos/West_Liberty_University/West_Liberty_University.svg
1919,Wheeling Jesuit University,http://wju.edu,Wheeling,WV,logos/Wheeling_Jesuit_University/Wheeling_Jesuit_University.svg
1920,West Virginia Northern Community College,http://wvncc.edu,Wheeling,WV,Fail
1921,West Virginia State University,http://wvstateu.edu,Institute,WV,logos/West_Virginia_State_University/West_Virginia_State_University.svg
