,School Name,URL,City,State
1361,Sinclair Community College,http://sinclair.edu,Dayton,OH
1362,Tiffin University,http://tiffin.edu,Tiffin,OH
1363,Cuyahoga Community College,http://tri-c.edu,Cleveland,OH
1364,The University of Akron,http://uakron.edu,Akron,OH
1365,University of Cincinnati,http://uc.edu,Cincinnati,OH
1366,University of Cincinnati Blue Ash,http://ucblueash.edu,Blue Ash,OH
1367,University of Cincinnati Clermont,http://ucclermont.edu,Batavia,OH
1368,University of Dayton,http://udayton.edu,Dayton,OH
1369,Urbana University,http://urbana.edu,Urbana,OH
1370,Ursuline College,http://ursuline.edu,Pepper Pike,OH
1371,University of Toledo,http://utoledo.edu,Toledo,OH
1372,Walsh University,http://walsh.edu,North Canton,OH
1373,Wilmington College,http://wilmington.edu,Wilmington,OH
1374,Wittenberg University,http://wittenberg.edu,Springfield,OH
1375,The College of Wooster,http://wooster.edu,Wooster,OH
1376,Wright State University,http://wright.edu,Dayton,OH
1377,Xavier University,http://xavier.edu,Cincinnati,OH
1378,Youngstown State University,http://ysu.edu,Youngstown,OH
1379,Ohio State University,http://osu.edu,Columbia,OH
1380,Cameron University,http://cameron.edu,Lawton,OK
1381,Connors State College,http://connorsstate.edu,(multiple locations),OK
1382,East Central University,http://ecok.edu,Ada,OK
1383,Langston University,http://langston.edu,Langston,OK
1384,Mid-America Christian University,http://macu.edu,Oklahoma City,OK
1385,Meridian Technology Center,http://meridiantech.edu,Stillwater,OK
1386,Northeastern State University,http://nsuok.edu,Tahlequah,OK
1387,Northwestern Oklahoma State University,http://nwosu.edu,Alva,OK
1388,Oklahoma Christian University,http://oc.edu,Edmond,OK
1389,Oklahoma City Community College,http://occc.edu,Oklahoma City,OK
1390,Oklahoma City University,http://okcu.edu,Oklahoma City,OK
1391,Oklahoma State University,http://okstate.edu,Stillwater,OK
1392,Oral Roberts University,http://oru.edu,Tulsa,OK
1393,Oklahoma State University Institue of Technology,http://osuit.edu,Okmulgee,OK
1394,Oklahoma State University,http://osuokc.edu,Oklahoma City,OK
1395,The University of Oklahoma,http://ou.edu,Norman,OK
1396,The University of Oklahoma Health Sciences Center,http://ouhsc.edu,Oklahoma City,OK
1397,Rose State College,http://rose.edu,Oklahoma City,OK
1398,Rogers State University,http://rsu.edu,Claremore,OK
1399,Southeastern Oklahoma State University,http://se.edu,Durant,OK
1400,Southwestern Christian University,http://swcu.edu,Bethany,OK
1401,Southwestern Oklahoma State Univeristy,http://swosu.edu,Weatherford,OK
1402,Tulsa Community College,http://tulsacc.edu,Tulsa,OK
1403,University of Central Oklahoma,http://uco.edu,Edmond,OK
1404,University of Science and Arts of Oklahoma,http://usao.edu,Chickasha,OK
1405,University of Tulsa,http://utulsa.edu,Tulsa,OK
1406,Western Oklahoma State College,http://wosc.edu,Altus,OK
1407,Blue Mountain Community College,http://bluecc.edu,Pendleton,OR
1408,Clatsop Community College,http://clatsopcc.edu,Astoria,OR
1409,Central Oregon Community College,http://cocc.edu,Bend,OR
1410,Columbia School of English,http://cs.edu,Portland,OR
1411,Concordia University Portland Oregon,http://cu-portland.edu,Portland,OR
1412,Eastern Oregon University,http://eou.edu,La Grande,OR
1413,George Fox University,http://georgefox.edu,Newberg,OR
1414,Lane Community College,http://lanecc.edu,Eugene,OR
1415,Lewis and Clark,http://lclark.edu,Portland,OR
1416,Linfield College,http://linfield.edu,McMinnville,OR
1417,Linn-Benton Community College,http://linnbenton.edu,Albany,OR
1418,Marylhurst University,http://marylhurst.edu,Marylhurst,OR
1419,National College of Natural Medicine,http://ncnm.edu,Portland,OR
1420,Oregon Health and Science University,http://ohsu.edu,Portland,OR
1421,Oregon State University,http://oregonstate.edu,Corvallis,OR
1422,Pacific University Oregon,http://pacificu.edu,Forest Grove,OR
1423,Portland Community College,http://pcc.edu,Portland,OR
1424,Portland State University,http://pdx.edu,Portland,OR
1425,Reed College,http://reed.edu,Portland,OR
1426,Rogue Community College,http://roguecc.edu,Grants Pass,OR
1427,Southwestern Oregon Community College,http://socc.edu,Coos Bay,OR
1428,Southern Oregon University,http://sou.edu,Ashland,OR
1429,University of Oregon,http://uoregon.edu,Eugene,OR
1430,University of Portland,http://up.edu,Portland,OR
1431,Warner Pacific College,http://warnerpacific.edu,Portland,OR
1432,Willamette University,http://willamette.edu,Salem,OR
1433,Western Oregon University,http://wou.edu,Monmouth,OR
1434,Allegheny College,http://allegheny.edu,Meadville,PA
1435,Alvernia University,http://alvernia.edu,Reading,PA
1436,Arcadia University,http://arcadia.edu,Glenside,PA
1437,Baptist Bible College & Seminary,http://bbc.edu,Clarks Summit,PA
1438,Butler County Community College,http://bc3.edu,Butler,PA
1439,Bloomsburg University,http://bloomu.edu,Bloomsburg,PA
1440,Bryn Mawr College,http://brynmawr.edu,Bryn Mawr,PA
1441,Bucknell University,http://bucknell.edu,Lewisburg,PA
1442,Bucks County Community College,http://bucks.edu,Newtown,PA
1443,California University of Pennsylvania,http://calu.edu,California,PA
1444,Carlow University,http://carlow.edu,Pittsburgh,PA
1445,Community College of Allegheny County,http://ccac.edu,(multiple locations),PA
1446,Community College of Philadelphia,http://ccp.edu,Philadelphia,PA
1447,Cedar Crest College,http://cedarcrest.edu,Allentown,PA
1448,Chatham University,http://chatham.edu,Pittsburgh,PA
1449,Chestnut Hill College,http://chc.edu,Philadelphia,PA
1450,Clarion University,http://clarion.edu,Clarion,PA
1451,Carnegie Mellon University,http://cmu.edu,Pittsburgh,PA
1452,Delaware County Community College,http://dccc.edu,Media,PA
1453,Delaware Valley College,http://delval.edu,Doylestown,PA
1454,Dickinson College,http://dickinson.edu,Carlisle,PA
1455,Drexel University,http://drexel.edu,Philadelphia,PA
