,Unnamed: 0,Name,URL,logo_wiki_page,logo_src,svg_file_path
190,191,CarMax,www.carmax.com,https://commons.wikimedia.org/wiki/File:CarMax_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/bd/CarMax_Logo.svg,logos/CarMax/CarMax.svg
191,192,National Oilwell Varco,www.nov.com,https://commons.wikimedia.org/wiki/File:Target_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Target_logo.svg,logos/National_Oilwell_Varco/National_Oilwell_Varco.svg
192,193,NRG Energy,www.nrgenergy.com,https://en.wikipedia.org/wiki/File:Duke_Energy_logo.svg,//upload.wikimedia.org/wikipedia/en/2/2e/Duke_Energy_logo.svg,logos/NRG_Energy/NRG_Energy.svg
193,194,Western Digital,www.westerndigital.com,https://commons.wikimedia.org/wiki/File:Western_Digital_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Western_Digital_logo.svg,logos/Western_Digital/Western_Digital.svg
194,195,Marriott International,www.marriott.com,https://commons.wikimedia.org/wiki/File:Marriott_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/44/Marriott_Logo.svg,logos/Marriott_International/Marriott_International.svg
195,196,Office Depot,www.officedepot.com,https://en.wikipedia.org/wiki/File:Office_Depot_Logo.svg,//upload.wikimedia.org/wikipedia/en/4/43/Office_Depot_Logo.svg,logos/Office_Depot/Office_Depot.svg
196,197,Nordstrom,www.nordstrom.com,https://commons.wikimedia.org/wiki/File:Nordstrom_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Nordstrom_Logo.svg,logos/Nordstrom/Nordstrom.svg
197,198,Kinder Morgan,www.kindermorgan.com,https://en.wikipedia.org/wiki/File:Kinder_Morgan_logo.svg,//upload.wikimedia.org/wikipedia/en/2/2f/Kinder_Morgan_logo.svg,logos/Kinder_Morgan/Kinder_Morgan.svg
198,199,Aramark,www.aramark.com,https://en.m.wikipedia.org/wiki/File:Depop_logo.svg,//upload.wikimedia.org/wikipedia/commons/f/fb/Depop_logo.svg,logos/Aramark/Aramark.svg
199,200,DaVita HealthCare Partners,www.davita.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/DaVita_HealthCare_Partners/DaVita_HealthCare_Partners.svg
200,201,Molina Healthcare,www.molinahealthcare.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Molina_Healthcare/Molina_Healthcare.svg
201,202,WellCare Health Plans,www.wellcare.com,Missing,Missing,Fail
202,203,CBS,www.cbscorporation.com,https://commons.wikimedia.org/wiki/File:CBS_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4e/CBS_logo.svg,logos/CBS/CBS.svg
203,204,Visa,www.visa.com,https://commons.wikimedia.org/wiki/File:Visa_Inc._logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Visa_Inc._logo.svg,logos/Visa/Visa.svg
204,205,Lincoln National,www.lfg.com,https://en.wikipedia.org/wiki/File:Wikiproject_NFL_logo.svg,//upload.wikimedia.org/wikipedia/commons/8/8f/Wikiproject_NFL_logo.svg,logos/Lincoln_National/Lincoln_National.svg
205,206,Ecolab,www.ecolab.com,https://en.wikipedia.org/wiki/File:Dell_Logo.svg,//upload.wikimedia.org/wikipedia/commons/4/48/Dell_Logo.svg,logos/Ecolab/Ecolab.svg
206,207,Kellogg,www.kelloggcompany.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Kellogg/Kellogg.svg
207,208,C.H. Robinson Worldwide,www.chrobinson.com,https://en.wikipedia.org/wiki/File:C._H._Robinson_logo.svg,//upload.wikimedia.org/wikipedia/en/3/3f/C._H._Robinson_logo.svg,logos/C_H_Robinson_Worldwide/C_H_Robinson_Worldwide.svg
208,209,Textron,www.textron.com,https://en.wikipedia.org/wiki/File:Bell_Textron_logo.svg,//upload.wikimedia.org/wikipedia/en/f/f8/Bell_Textron_logo.svg,logos/Textron/Textron.svg
209,210,Loews,www.loews.com,https://commons.wikimedia.org/wiki/File:Lowes_Companies_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Lowes_Companies_Logo.svg,logos/Loews/Loews.svg
210,211,Illinois Tool Works,www.itw.com,https://en.wikipedia.org/wiki/File:A%26D_Company_logo.svg,//upload.wikimedia.org/wikipedia/en/c/ca/A%26D_Company_logo.svg,logos/Illinois_Tool_Works/Illinois_Tool_Works.svg
211,212,Synnex,www.synnex.com,https://en.wikipedia.org/wiki/File:Dell_Logo.svg,//upload.wikimedia.org/wikipedia/commons/4/48/Dell_Logo.svg,logos/Synnex/Synnex.svg
212,213,Viacom,www.viacom.com,https://commons.wikimedia.org/wiki/File:Viacom_logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/37/Viacom_logo.svg,logos/Viacom/Viacom.svg
213,214,HollyFrontier,www.hollyfrontier.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/HollyFrontier/HollyFrontier.svg
214,215,Land O’Lakes,www.landolakesinc.com,https://commons.wikimedia.org/wiki/File:Land_O%E2%80%99Lakes_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Land_O%E2%80%99Lakes_Logo.svg,logos/Land_O_Lakes/Land_O_Lakes.svg
215,216,Devon Energy,www.devonenergy.com,https://en.wikipedia.org/wiki/File:Dominion_Energy_logo.svg,//upload.wikimedia.org/wikipedia/en/b/b8/Dominion_Energy_logo.svg,logos/Devon_Energy/Devon_Energy.svg
